claim_id,claim_text,phase,dataset,analysis,primary_or_secondary,point_estimate,uncertainty,n,support_level,limitations,source_table,source_figure,manuscript_section,main_or_supplement
R8_scvi_matched_aurc,Lawlor scvi_matched aurc=0.0867,PHASE12B,Lawlor Baseline,donor_held_out,primary,0.0867,sd=0.0179,50,A,Author labels; 12 proteins; Baseline-only,results/phase12b_external_validation/formal_validation/tables/phase12b_primary_runs.csv,Fig6,Results8,main
R8_scvi_matched_ece_equal_frequency,Lawlor scvi_matched ece_equal_frequency=0.0344,PHASE12B,Lawlor Baseline,donor_held_out,primary,0.0344,sd=0.0103,50,A,Author labels; 12 proteins; Baseline-only,results/phase12b_external_validation/formal_validation/tables/phase12b_primary_runs.csv,Fig6,Results8,main
R8_totalvi_macro_f1,Lawlor totalvi macro_f1=0.8883,PHASE12B,Lawlor Baseline,donor_held_out,primary,0.8883,sd=0.0122,50,A,Author labels; 12 proteins; Baseline-only,results/phase12b_external_validation/formal_validation/tables/phase12b_primary_runs.csv,Fig6,Results8,main
R8_totalvi_predictive_error_auroc,Lawlor totalvi predictive_error_auroc=0.8381,PHASE12B,Lawlor Baseline,donor_held_out,primary,0.8381,sd=0.0182,50,A,Author labels; 12 proteins; Baseline-only,results/phase12b_external_validation/formal_validation/tables/phase12b_primary_runs.csv,Fig6,Results8,main
R8_totalvi_latent_error_auroc,Lawlor totalvi latent_error_auroc=0.6497,PHASE12B,Lawlor Baseline,donor_held_out,primary,0.6497,sd=0.0264,50,A,Author labels; 12 proteins; Baseline-only,results/phase12b_external_validation/formal_validation/tables/phase12b_primary_runs.csv,Fig6,Results8,main
R8_totalvi_nll,Lawlor totalvi nll=0.3673,PHASE12B,Lawlor Baseline,donor_held_out,primary,0.3673,sd=0.0334,50,A,Author labels; 12 proteins; Baseline-only,results/phase12b_external_validation/formal_validation/tables/phase12b_primary_runs.csv,Fig6,Results8,main
R8_totalvi_brier,Lawlor totalvi brier=0.2017,PHASE12B,Lawlor Baseline,donor_held_out,primary,0.2017,sd=0.0200,50,A,Author labels; 12 proteins; Baseline-only,results/phase12b_external_validation/formal_validation/tables/phase12b_primary_runs.csv,Fig6,Results8,main
R8_totalvi_aurc,Lawlor totalvi aurc=0.0362,PHASE12B,Lawlor Baseline,donor_held_out,primary,0.0362,sd=0.0069,50,A,Author labels; 12 proteins; Baseline-only,results/phase12b_external_validation/formal_validation/tables/phase12b_primary_runs.csv,Fig6,Results8,main
R8_totalvi_ece_equal_frequency,Lawlor totalvi ece_equal_frequency=0.0342,PHASE12B,Lawlor Baseline,donor_held_out,primary,0.0342,sd=0.0071,50,A,Author labels; 12 proteins; Baseline-only,results/phase12b_external_validation/formal_validation/tables/phase12b_primary_runs.csv,Fig6,Results8,main
R8d_aurc,Lawlor Delta aurc=-0.0505; favorable=50/50,PHASE12B,Lawlor Baseline,paired_deltas,primary,-0.0505,sd=0.0127,50 pairs,A,Fold SD often > seed SD,results/phase12b_external_validation/formal_validation/tables/phase12b_model_deltas.csv,Fig6,Results8,main
R8d_brier,Lawlor Delta brier=-0.1252; favorable=50/50,PHASE12B,Lawlor Baseline,paired_deltas,primary,-0.1252,sd=0.0133,50 pairs,A,Fold SD often > seed SD,results/phase12b_external_validation/formal_validation/tables/phase12b_model_deltas.csv,Fig6,Results8,main
R8d_latent_error_auroc,Lawlor Delta latent_error_auroc=0.0448; favorable=38/50,PHASE12B,Lawlor Baseline,paired_deltas,primary,0.0448,sd=0.0655,50 pairs,A,Fold SD often > seed SD,results/phase12b_external_validation/formal_validation/tables/phase12b_model_deltas.csv,Fig6,Results8,main
R8d_macro_f1,Lawlor Delta macro_f1=0.0885; favorable=50/50,PHASE12B,Lawlor Baseline,paired_deltas,primary,0.0885,sd=0.0112,50 pairs,A,Fold SD often > seed SD,results/phase12b_external_validation/formal_validation/tables/phase12b_model_deltas.csv,Fig6,Results8,main
R8d_nll,Lawlor Delta nll=-0.2126; favorable=50/50,PHASE12B,Lawlor Baseline,paired_deltas,primary,-0.2126,sd=0.0216,50 pairs,A,Fold SD often > seed SD,results/phase12b_external_validation/formal_validation/tables/phase12b_model_deltas.csv,Fig6,Results8,main
R8d_predictive_error_auroc,Lawlor Delta predictive_error_auroc=0.0369; favorable=45/50,PHASE12B,Lawlor Baseline,paired_deltas,primary,0.0369,sd=0.0264,50 pairs,A,Fold SD often > seed SD,results/phase12b_external_validation/formal_validation/tables/phase12b_model_deltas.csv,Fig6,Results8,main
R8_design,Lawlor: 16175 Baseline SNG; 5207 labeled; 12776 genes; 12 proteins; 100 runs,PHASE12B,Lawlor Baseline,design,primary,16175/5207/12776/12/100,,100,A,No Hao/Seurat-v4 labels,results/phase12b_external_validation/formal_validation/logs/data_prep_summary.json,Fig6A,Results8,main
NOV_poe,Posterior precision weighting / PoE fusion is not novel,PHASE12A,literature,novelty_audit,primary,not novel,,,C,Contribution=reliability characterization,results/phase12a_variance_replication/logs/method_novelty_audit.md,,Discussion,main
LIM_phase9,No cell-wise missing-protein experiment (totalVI API limitation),PHASE9,PBMC,API_feasibility,secondary,no experiment,,,E,Zero-fill ≠ missingness,results/logs,,Methods/Discussion,supplement
R6_unc_instab,Uncertainty–instability associations summarized in phase11b_uncertainty_instability_assoc.csv (n_rows=30),PHASE11B,PBMC transfer,fragility,primary,see table,,30,A,Uncertainty predicts fragility magnitude not causal source,results/phase11b_uncertainty_robustness/tables/phase11b_uncertainty_instability_assoc.csv,Fig5A,Results6,main
